corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt
00339063,삼성수산,052560,진병현,03112,부산광역시 서구 충무동1가 34-4 성해빌딩 801호 ,www.samsungfish.com,19970305,12
00721981,삼성디지털이미징,108070,박상진,27,경기도 수원시 영통구 매탄3동 416번지,-,20090204,12
00126229,삼성물산,000830,최치훈,467,서울특별시 서초구 서초대로74길 14 삼성물산(주),http://www.samsungcnt.co.kr,19520111,12
00126371,삼성전기,009150,장덕현,2622,경기도 수원시 영통구  매영로 150,www.sem.samsung.co.kr,19730808,12
00423690,삼성출판사,068290,김진용,5811,서울특별시 서초구  명달로 94 (주)삼성출판사,www.samsungbooks.com,20020702,12
01528530,삼성기업인수목적4호,377630,김영도,661,서울특별시 서초구 서초대로74길 11,,20210125,12
00126201,삼성공조,006660,고호곤,30399,경상남도 창원시 성산구  연덕로 176 삼성공조(주),www.samsungcc.co.kr,19700611,12
00139214,삼성화재해상보험,000810,이문화,65121,서울특별시 서초구 서초대로74길 14 (서초동),www.samsungfire.com,19520126,12
01534522,삼성머스트기업인수목적5호,380320,임호원,661,서울특별시 서초구 서초대로74길 11,,20210304,12
01624162,삼성기업인수목적6호,425290,이주혁,661,서울특별시 서초구 서초대로74길 11,,20220321,12
00877059,삼성바이오로직스,207940,임존종보 (Rim John Chongbo),211,인천광역시 연수구 송도바이오대로 300,www.samsungbiologics.com,20110422,12
00126186,삼성에스디에스,018260,이준희,62021,서울특별시 송파구 올림픽로35길 125(신천동),www.samsungsds.com,19850501,12
01688896,삼성FN리츠,448730,이명규,6811,서울특별시 서초구 서초대로74길 4,www.samsungfnreit.com/,20220726,01
00126292,삼성카드,029780,김이태,64913,서울특별시 중구  세종대로 67,www.samsungcard.co.kr,19830324,12
00126414,삼성제약,001360,정성택 대표이사,212,경기도 화성시 향남읍 제약공단4길 10 -,www.sspharm.co.kr,19290815,12
00104856,삼성증권,016360,박종문,66121,서울특별시 서초구 서초대로74길 11 (서초동),www.samsungpop.com,19821019,12
00126256,삼성생명,032830,홍원학,65110,서울특별시 서초구 서초대로74길 11 (서초동) 삼성생명보험 주식회사,www.samsunglife.com,19570404,12
00126478,삼성중공업,010140,최성안,3111,경기도 성남시 분당구 판교로227번길 23 삼성중공업 판교R&D센터,www.samsungshi.com,19740805,12
01700921,삼성기업인수목적8호,448740,안신영,66199,서울특별시 서초구 서초대로74길 11,,20221031,12
01957909,삼성스팩13호,0115H0,성상환,66199,서울특별시 서초구 서초대로74길 11,,20250918,12
01946532,삼성스팩12호,0096B0,김영제,64999,서울특별시 서초구 서초대로74길 11,,20250807,12
01965324,삼성에피스홀딩스,0126Z0,김경아,64992,인천광역시 연수구 송도교육로 76 삼성에피스홀딩스,www.samsungepisholdings.com,20251103,12
00126362,삼성SDI,006400,최주선,28202,경기도 용인시 기흥구  공세로 150-20,www.samsungsdi.co.kr,19700120,12
00126308,삼성E&A,028050,남궁홍,72129,서울특별시 강동구 상일동 500 삼성 GEC,www.samsungena.com,19781019,12
01675227,삼성기업인수목적7호,439250,이지연,66199,서울특별시 서초구 서초대로74길 11,,20220714,12
00149655,삼성물산,028260,"오세철, 이재언, 송규종",467,서울특별시 강동구 상일로6길 26 -,www.samsungcnt.com,19631223,12
00126380,삼성전자,005930,"전영현, 노태문",264,경기도 수원시 영통구  삼성로 129 (매탄동),www.samsung.com/sec,19690113,12
01910759,삼성스팩10호,0044K0,남궁혁,66199,서울특별시 서초구 서초대로74길 11,,20250408,12
01786514,삼성기업인수목적9호,468510,오정헌,661,서울특별시 서초구 서초대로74길 11,,20230914,12
01935183,삼성스팩11호,0071M0,문소연,66199,서울특별시 서초구 서초대로74길 11,,20250605,12
00318617,LG파워콤,045820,이정식,61210,서울특별시 서초구 서초동 1329-7 신덕빌딩,www.lgpwc.com,20000126,12
00356361,LG화학,051910,김동춘,20111,서울특별시 영등포구  여의대로 128,www.lgchem.com,20010401,12
00105873,LG디스플레이,034220,정철동,2621,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층),www.lgdisplay.com,19850228,12
